"STATION","NAME","DATE","TMAX","TMIN"
"MXM00076680","MEXICO CITY, MX","2009-09-19","76","56"
"MXM00076680","MEXICO CITY, MX","2009-09-21","78","56"
"MXM00076680","MEXICO CITY, MX","2009-09-22","70","56"
"MXM00076680","MEXICO CITY, MX","2009-09-23","75","56"
"MXM00076680","MEXICO CITY, MX","2009-09-24","70","55"
"MXM00076680","MEXICO CITY, MX","2009-09-25","72","56"
"MXM00076680","MEXICO CITY, MX","2009-09-27","69","55"
"MXM00076680","MEXICO CITY, MX","2009-09-28","75","56"
"MXM00076680","MEXICO CITY, MX","2009-09-29","79","55"
"MXM00076680","MEXICO CITY, MX","2009-10-01","79","58"
"MXM00076680","MEXICO CITY, MX","2009-10-02","80","58"
"MXM00076680","MEXICO CITY, MX","2009-10-03","82","58"
"MXM00076680","MEXICO CITY, MX","2009-10-05","83","58"
"MXM00076680","MEXICO CITY, MX","2009-10-06","83","57"
"MXM00076680","MEXICO CITY, MX","2009-10-07","84","58"
"MXM00076680","MEXICO CITY, MX","2009-10-08",,
"MXM00076680","MEXICO CITY, MX","2009-10-09","81","59"
"MXM00076680","MEXICO CITY, MX","2009-10-12","78","57"
"MXM00076680","MEXICO CITY, MX","2009-10-13",,
"MXM00076680","MEXICO CITY, MX","2009-10-14","81","57"
"MXM00076680","MEXICO CITY, MX","2009-10-15","78","56"
"MXM00076680","MEXICO CITY, MX","2009-10-16","78","54"
"MXM00076680","MEXICO CITY, MX","2009-10-19",,
"MXM00076680","MEXICO CITY, MX","2009-10-20",,
"MXM00076680","MEXICO CITY, MX","2009-10-21",,
"MXM00076680","MEXICO CITY, MX","2009-10-22","83","55"
"MXM00076680","MEXICO CITY, MX","2009-10-23","79","55"
"MXM00076680","MEXICO CITY, MX","2009-10-27","69","55"
"MXM00076680","MEXICO CITY, MX","2009-10-28","69","54"
"MXM00076680","MEXICO CITY, MX","2009-10-29",,
"MXM00076680","MEXICO CITY, MX","2009-10-30","72","58"
"MXM00076680","MEXICO CITY, MX","2009-11-02","75","50"
"MXM00076680","MEXICO CITY, MX","2009-11-03","73","46"
"MXM00076680","MEXICO CITY, MX","2009-11-04","68","46"
"MXM00076680","MEXICO CITY, MX","2009-11-05","63","50"
"MXM00076680","MEXICO CITY, MX","2009-11-06","63","45"
